Description,Price,Stars,Reviews,Url
7-Sided Portable Pill Box Medicine Planner Small case,Rs. 26.00,4.65,49 reviews,https://deodap.in/products/7-sided-portable-pill-box-medicine-planner-small-case
Mini Stapler with 1 Strip of Staples (1...,Rs. 15.00,4.62,50 reviews,https://deodap.in/products/mini-stapler-with-1-strip-of-staples-1-set
Night HD Vision Driving Anti Glare Eyeglasses,Rs. 97.00,4.56,57 reviews,https://deodap.in/products/0507-night-hd-vision-driving-anti-glare-eyeglasses
Heavy Duty Flower Adhesive Wall Hooks - (10...,Rs. 15.00,4.80,20 reviews,https://deodap.in/products/heavy-duty-adhesive-wall-hooks-10-pc-set
Manual Hand Finger Counting Machine Digital Head Electron...,Rs. 25.00,4.79,24 reviews,https://deodap.in/products/9041-manual-hand-finger-counting-machine-digital-head-electronic-tally-counter
Wooden / Bamboo Brush Toothbrush Ultra Soft Bristles...,Rs. 14.00,4.55,49 reviews,https://deodap.in/products/wooden-bamboo-brush-toothbrush-ultra-soft-bristles-1-pc
"5 in 1 Multipurpose Plastic Hanger, Assorted (5-Layer)",Rs. 17.00,4.27,55 reviews,https://deodap.in/products/0587-5-in-1-multipurpose-plastic-hanger-assorted-5-layer
Metallic Cable Protector for Cords & Headphones (Spir...,Rs. 25.00,4.86,21 reviews,https://deodap.in/products/metallic-finish-cable-spiral-protector-wire-repair-pet-cord-protector-headphone-saver-cable-wrap-cover-for-mac-charging-cable
LED Flexible Wire Waterproof Lights for Party (2AA...,Rs. 26.00,4.44,27 reviews,https://deodap.in/products/led-flexible-wire-waterproof-lights-for-party-2aa-battery-operated-batt
4-Layer Transparent Multipurpose Plastic Storage Box,Rs. 194.00,4.80,51 reviews,https://deodap.in/products/4-layer-transparent-multipurpose-plastic-storage-box
"12 Mini Colouring Pencils with Sharpener, Kids Drawing...",Rs. 40.00,4.20,25 reviews,https://deodap.in/products/7957-12-colouring-pencils-kids-set-pencils-sharpener-mini-drawing-colored-pencils-with-sharpener-kawaii-manual-pencil-cutter-coloring-pencil-accessory-school-supplies-for-kid-artists-writing-sketching
